,Type,Title,Rating,Status,Start date,Completed date,Score,"Avg. Rating
(Rotten Tomatoes)","Avg. Rating
(AGB Nielsen)",Cast
,Kdrama,Dream High (Korean: 드림하이),0.75,Done,2020-08-09,2020-08-16,0.76,,15.70%,"Bae Suzy as Go Hye-mi
Lee Joo-yeon as young Go Hye-mi (ep 2, 5)
She originally wanted to become an opera singer, but is forced to take up mainstream pop to pay off her father's debt to a gangster.
Ok Taec-yeon as Jin-guk/Hyun Shi-hyuk
Kang Yi-seok as young Jin-guk (ep 2, 5, 10)
He has a contentious relationship with his father the Mayor who hasn't acknowledged him as his son.
Kim Soo-hyun as Song Sam-dong
A country bumpkin who is a music prodigy with a rare disease.
Ham Eun-jung as Yoon Baek-hee
Formerly best friends with Hye-mi, the two become bitter enemies when Hye-mi betrays Baek-hee during an audition.
Jang Woo-young as Jason
An American-born dancer who plans on making his entertainment debut in Korea.
IU as Kim Pil-sook
She was discouraged from pursuing music because she was shy and overweight. She also has the gift of perfect pitch"
,Kdrama,Fight for My Way (Korean: 쌈 마이웨이),0.75,Done,2020-11-07,2020-11-08,0.73,,10.90%,"Park Seo-joon as Ko Dong-man 고동만 [7]
Jo Yeon-ho as young Ko Dong-man
A former taekwondo player who used to be famous but had to stop because of a painful past, is now a nameless mixed martial arts fighter. Later, he falls in love with his long time best friend, Choi Ae-ra, while struggling to succeed in his career and love life.
Kim Ji-won as Choi Ae-ra 최애라 [8]
Lee Han-seo as young Choi Ae-ra
A strong and sassy girl. She's working as a department store employee at the information desk but dreams of becoming an announcer. She hasn't given up on her dreams, even though she is not eligible and faces too much humiliation specifically because of her rival in love, Park Hye-ran. She keeps on striving for her dream to come true.
Ahn Jae-hong as Kim Joo-man 김주만 [9]
The so-called ""brain"" of the four. He landed a permanent position at a home shopping network. His loyalty and love for his girlfriend of six years, will be put to the test.
Song Ha-yoon as Baek Seol-hee 백설희 [9]
Kim Ha-eun as young Baek Seol-hee
An innocent and quirky girl of the group, who is working customer service at the home shopping network. For six years, her universe revolves around Joo-man and she is extremely in love with him.
Supporting
People related to Dong-man
Son Byong-ho as Go Hyung-shik
Dong-man's father.
Kim Ye-ryeong as Park Soon-yang
Dong-man's mother.
Jo Eun-yoo as Go Dong-hee
Go Na-hee as young Go Dong-hee
Dong-man's younger sister.
Lee Elijah as Park Hye-ran[10]
Dong-man's ex-girlfriend. A famous anchor who is divorced after married to a wealthy man but still has luck in fame and appearance. She's trying to get back with Dong-man after dumping him.
Kim Sung-oh as Hwang Jang-ho[11]
Dong-man's coach and loyal friend.
People related to Ae-ra
Jeon Bae-soo as Choi Cheon-gap
Ae-ra's father.
Jin Hee-kyung as Hwang Bok-hee / Ganako Hwang
A mysterious woman in the village where the main characters live. Choi Ae Ra's mother who left her due to some problems and went to Japan. She had breast cancer which was cured. She returned to South Korea as fantastic four landlady and lived with her adopted son Nam Il. She had a mysterious flip mobile in which she kept many photographs of Ae Ra and Nam Il as memories of their childhood.
Kang Ki-doong as Jang Kyung-goo
A broadcasting production director and an acquaintance of Ae-ra.
People related to Joo-man
Pyo Ye-jin as Jang Ye-jin[12]
Joo-man's new workmate at the home shopping network, secretly a daughter of a wealthy household. She will put Joo-man and Seol-hee's love for each other to the test.
Kim Hee-chang as Head of Department Choi
Joo-man's and Ye-jin's boss.
People related to Seol-hee
Lee Jung-eun as Geum-bok
Seol-hee's mother.
Kim Hak-sun as Baek Jang-soo
Seol-hee's father.
Others
Kim Gun-woo as Kim Tak-su
A star fighter and Dong-man's biggest rival.
Yang Kyung-won as Cho-yun
Chae Dong-hyun as Yang Tae-hee
Tak-su's manager.[13]
Park Kyu-young as Ahn Su-jeong
Oh Eui-shik as Manager Oh
Yoon Sa-bong as Kim Joo-hye
Yang Ki-won as Choi Won-bo
Tak-su's coach.
Lee Chae-eun
Gong Sang-ah
Lee Seo-hwan
Baek Ji-won
Kim Jae-cheol
Jung Bo-ram
Yoo Min-joo
Park Ye-jin
Yoon Yeo-hak
Cha Sang-mi
Kim Se-joon
Park Seung-chan
Han Geu-rim
Ji Sung-geun
Choi Na-moo
Choi Hyo-eun as Mai-ei
Kim Tae-rang (Voice appearance)
Yoon Ji-yeon (Voice appearance)
Special appearances
Kwak Dong-yeon as Kim Moo-ki[14] (Ep. 1)
Ae-ra's ex-boyfriend, who cheated on her.
Jin Ji-hee as Jang Bo-ram (Ep. 1 & 7)
Dong-man's schoolmate.
Choi Woo-shik as Park Moo-bin[15] (Ep. 1-7)
Dong-man's high school classmate who grew up to be a sweet-seeming but actually conceited doctor. He falls for Ae-ra and tries to win her over but it is later revealed he is engaged.
Jung Soo-young as Young-sook (Ep. 1)
Moo-ki's new girlfriend who is much older than them and run's a successful restaurant.
Hwang Bo-ra as Park Chan-sook[16] (Ep. 1 & 2)
Ae-ra's university friend.
Kim Dae-hwan
In Gyo-jin as Kim In-gyo[17]
Ae-ra's colleague.
Jo Mi-ryung as Lee Ji-sook (Ep. 5)
Department store VIP customer.
Z.Hera as Sonya (Ep. 6, 8)
Tak-su's girlfriend.
Shin Yong-moon as Ring Announcer (Ep. 8)
Kwak Si-yang as Kim Nam-il (Ep. 11-16)
Hwang Bok-hee's son.
Julien Kang as John Karellas (Ep. 13-14, 16)
Dong-man's trainer.
"
,Kdrama,Let's Eat 2 (Korean: 식샤를 합시다 2),0.72,Done,,,0.66,,1.95%,"Yoon Doo-joon as Goo Dae-young[6][7]
Seo Hyun-jin as Baek Soo-ji
Kwon Yul as Lee Sang-woo"
,Kdrama,Memories of the Alhambra (Korean: 알함브라 궁전의 추억),0.70,Done,,,0.68,,8.43%,"Hyun Bin as Yoo Jin-woo (39 years old)[13][14]
Chief executive officer of investment company J One Holdings; Doctor of Engineering who is talented at developing games. He is fearless, adventurous and cynical.
Park Shin-hye as Jung Hee-joo / Emma (27 years old)[15]
Lee Chae-yoon as young Jung Hee-joo
Jung Hee-joo: Owner of Bonita Hostel. A former classic guitarist who came to Spain for further studies, but took on several jobs there to sustain livelihood following the death of her parents. She has artistic sensibility but zero financial sense.
Emma: An NPC character in the AR game created by Se-joo based from Hee-joo.[16]
"
,Kdrama,The Secret Life of My Secretary (Korean: 초면에 사랑합니다),0.70,Done,,,0.65,,3.30%,"Kim Young-kwang as Do Min-ik
An intelligent, yet a needy and problematic boss who works at T&T Mobile Media. He calls out for his secretary for everything.[7]
Jin Ki-joo as Jung Gal-hee
An obedient, lively secretary who has a harsh way of talking.[6]
Kim Jae-kyung as Veronica Park/Park Ok-sun
CEO of film production company Cine Park. She boasts excellence in her work but has an audacious personality and a messy personal life.[8]
Koo Ja-sung as Ki Dae-joo
Best friend of Do Min-ik and who heads a different team at T&T Mobile Media. He is capable of stealing hearts with his talent as well as his gentle and sweet personality. He is the love interest of Veronica Park."
,Kdrama,Warm and Cozy (Korean: 맨도롱 또똣),0.65,Done,,,0.62,,7.40%,"Kang So-ra as Lee Jung-joo
29 years old. She was working 7 years in underwear company in Seoul. When she lost her job, boyfriend and apartment, she moved to Sorang Town on Jeju island to start new life.
Yoo Yeon-seok as Baek Gun-woo
29 years old. Youngest child of wealthy family. His siblings have different fathers and he is supported by older brother. He opened restaurant ""Warm and Cozy"" in Sorang Town to impress his first love. Talented chef, but lazy, working only for fun.
Supporting
Jinyoung as Jung Poong-san,[10] Gun-woo's friend working with him im ""Warm and Cozy"" restaurant
Kim Sung-oh as Hwang Wook, mayor of Sorang Town, bachelor
Seo Yi-an as Mok Ji-won, Gun-woo's first love
Lee Sung-jae as Song Jung-geun, Gun-woo's older brother, president of Noblesse Resort
Kim Hee-jung as Kim Hae-shil, haenyeo, president of Sorang Haenyeo Assoctiaton
Lee Han-wi as Gong Jong-bae, man of many trades in Sorang Town
Ok Ji-young as Cha Hee-ra, Gun-woo's older sister, director of entertainment agency
Kim Mi-jin as Bu Mi-ra, writer living on Jeju.
Lee Yong-yi as Noh Bok-nyeo, haenyeo of Sorang Town
Gu Bon-im as Go Yoo-ja, haenyeo of Sorang Town
Choi Sung-min as Park Dong-soo, Bu Mi-ra's husband
Lee Sang-hyun as Assistant Jang, Song Jung-geun's personal assistant
Choi Jae-sung as Jin Tae-yong, Gun-woo's father"
,Kdrama,Let's Eat (Korean: 식샤를 합시다),0.60,Done,,,0.54,,1.29%,"Lee Soo-kyung as Lee Soo-kyung[5]
Yoon Doo-joon as Goo Dae-young[6]
Shim Hyung-tak as Kim Hak-moon
Yoon So-hee as Yoon Jin-yi[7]
Recurring
Lee Do-yeon as Oh Do-yeon
Jang Won-young as Choi Kyu-sik
Jung Soo-young as Park Kyung-mi
Hong Eun-taek as Choi Deok-young
Oh Kwang-suk (Feeldog) as Hyun Kwang-suk
Choi Dae-sung as Laundromat boss
Jung Tae-sung as Hak-moon's nephew
Special appearances
Park Young-seo as man on Soo-kyung's blind date (ep. 1)
Lee Yong-nyeo as Bae Mi-ja (ep. 1)
Lee Sang-woo as Kim Sung-soo, divorce client[8] (ep. 8)
Nam Nung-mi as Soo-kyung's mother (ep. 8-9)
Kang Ye-bin as woman on Hak-moon's blind date (ep. 9)
Heo Gu-yeon as Dae-young's father (ep. 10)
Choi Phillip as Catholic church oppa, Soo-kyung's third ex-boyfriend (ep. 11)
Lee Yong-joo as basketball team captain, Soo-kyung's second ex-boyfriend (ep. 11)
Lee Yoon-mi as pet shop owner (ep. 11)
Nam Chang-hee as dog owner (ep. 12)
Sam Hammington as president of soy sauce crab restaurant (ep. 12)
Kim San-ho as Hak-moon's restaurant owner friend (ep. 13)
Choi Sung-joon as assailant (ep. 14)
Jung Eun-pyo as police officer (ep. 14)
Jung Kyung-ho as housing agency employee (ep. 15)
Lee Il-hwa as Kwang-suk's mother (ep. 16)
Uhm Hyun-kyung as restaurant customer eating delicious food (ep. 16)
Kim Hyun-sook as Lee Young-ae, cafe customer[9] (ep. 16)
Ra Mi-ran as Manager Ra, cafe customer[9] (ep. 16)
An unknown Siberian Husky that scared Mr. Kim (ep. 12)"
,Kdrama,The School Nurse Files (Korean: 보건교사 안은영),0.60,Skipped,2020-10-02,,0.54,,0.00%,"Jung Yu-mi as Ahn Eun-young, a school nurse who can see jellies
Nam Joo-hyuk as Hong In-pyo, a Hanja teacher with a special energy field protecting him from jellies
Supporting
Lee Joo-young as Han Ah-reum, Life Sciences teacher.
Teo Yoo as Mr. Mackenzie, English teacher.
Lee Suk-hyung as Min-woo, student.
Choi Joon-young as Kim Kang-sun, Eun-young's middle school classmate.
Hyun Woo-seok as Seung-kwon, student.
Kwon Young-chan as Lee Ji-hyung, student.
Park Se-jin as Jang Radi, student.
Song Hee-joon as Baek Hye-min, student.
Shim Dal-gi as Heo Wan-soo, student.
Kim Mi-soo as Hwang Ga-young, In-pyo's elementary school classmate.
Special appearances
Jeon Gook-hwan as Hong Jin-beom, Monglyeon High School founder and In-pyo's grandfather.
Moon So-ri as Hwa-soo, director of acupuncture institute and Eun-young's friend."
,Kdrama,My Secret Romance (Korean: 애타는 로맨스),0.55,Done,,,0.50,,,"Sung Hoon as Cha Jin-wook[3] (Gino Cha)
A prickly second generation chaebol and director of a company owned by his dad. He was playful and loved partying. After Yoo-mi disappeared from his sight, he turned into a hard-working and serious man while taking good care of his father's company.
Song Ji-eun as Lee Yoo-mi[4] (Yumi Lee)
A nutritionist who feels insecure about other people's opinions and is also scared to wear revealing clothes due to her mother's controversial reputation on society.
Kim Jae-young as Jung Hyun-tae (Jeffery Jung)
A successful travel writer and the owner of a book cafe. Warm and friendly, he is Yoo-mi's best friend. He has a crush on Yoo-mi, but he never tries to show it to her.
Jung Da-sol as Joo Hye-ri[5] (Annie Joo)
A young and beautiful announcer who is popular with men, but has an unrequited crush on Jin-wook.
Supporting
People around Jin-wook
Lee Kan-hee as Kim Ae-ryung, Jin-wook's mother
Kim Jong-goo as Cha Dae-bok, Jin-wook's father
Park Shin-woon as Jang Woo-jin, Jin-wook's secretary
People around Yoo-mi
Nam Ki-ae as Jo Mi-hee, Yoo-mi's mother
Joo Sang-hyuk as Dong-goo, Yoo-mi's little brother
Kim Jae Young as Jung Hyeon-Tae, Yoo-mi's best friend
Kim Si-young as Wang Bok-ja
Im Do-yoon as Kang Je-ni
Lee Hae-in as Jang Eun-bi
Baek Seung-heon as Lee Shin-hwa
Special appearance
Jeon So-min as Girl in the Club (Ep. 1)
"
,Kdrama,Radio Romance (Korean: 라디오 로맨스),0.45,Done,,,0.43,,4.10%,"Yoon Doo-joon as Ji Soo-ho
Nam Da-reum as young Ji Soo-ho
A top actor who is accustomed to act based on scripts. He ends up becoming the DJ for a live radio show where nothing ever goes according to plan.[6]
Kim So-hyun as Song Geu-rim
Lee Re as young Song Geu-rim
The writer of Soo-ho's radio show with five-year experience as an assistant writer. She lacks of writing skills but possesses excellent planning skills.[7][8]
Yoon Park as Lee Kang
The radio station's competent producing director. Because of his perfectionism, every program he handles achieved No. 1 in listener ratings.
Yura as Jin Tae-ri
An over-the-hill actress who fell from grace due to a DUI accident that happened three years ago."
,Kdrama,Moon Embracing the Sun (Korean: 해를 품은 달),,,,,1.00,,33.00%,"Kim Soo-hyun[1] as Crown Prince / King Lee Hwon (李暄) / King Taejong
Yeo Jin-goo as 15-year-old Lee Hwon
'Sun Reaching for the Moon': Lee Hwon is the intelligent and kind Crown Prince of Joseon. He falls in love with Yeon-woo; even after her sudden death, he remains devoted to her memory. When he meets Wol, he has doubts about Yeon-woo's death and begins an investigation, unearthing political machinations and dark secrets.
Han Ga-in[2] as Heo Yeon-woo (許煙雨) / Shaman Wol (月)
Kim Yoo-jung as 13-year-old Heo Yeon-woo
'Moon Embracing the Sun': Although she is destined to be the Queen of Joseon, Yeon-woo is cheated out of her fate by the grasping Queen Mother and Prime Minister Yoon. She is appointed Crown Princess, but she mysteriously dies before the wedding. In reality, she loses her memory and becomes a shaman. Eight years later, she returns to the palace as Shaman Wol and is struck by her inexplicable attraction to the king and her strange ""visions"" about the king's mysterious first love.
Jung Il-woo[3] as Prince Yang-myung (陽明)
Lee Tae-ri as young Yang-myung
'Overshadowed by the Sun': Yang Myung is Lee Hwon's half-brother. Although he is the elder, he is the son of the king's concubine and therefore ineligible for the throne. He struggles to reconcile his lifelong, unrequited love for Yeon-woo, his fraternal love for his brother, and his attraction to Shaman Wol.
Kim Min-seo as Yoon Bo-kyung（尹寶鏡）
Kim So-hyun as young Yoon Bo-kyung
'A Mirror longing to be the Moon' Bo-kyung is used by the Queen Mother and her father, Prime Minister Yoon, in order to maintain their clan's power. After Yeon-woo's death, she becomes Lee Hwon's queen. She remains in love with Lee Hwon all her life, but he still loves Yeon-woo."
,Kdrama,Descendants of the Sun (Korean: 태양의 후예),,,,,0.97,,28.60%,"Song Joong-ki as Captain Yoo Si-jin (a.k.a. Big Boss)
Song Hye Kyo as Doctor Kang Mo-yeon (a.k.a. Beauty and Pretty one)
Jin Goo as Sergeant Major Seo Dae-young (a.k.a. Wolf)
Kim Ji-won as First Lieutenant Yoon Myung-ju
Recurring
Alpha Team Members
Park Hoon as First Sergeant Choi Woo-geun (a.k.a. Snoopy) – bomb expert and only married member of Alpha Team
Choi Woong as Staff Sergeant Gong Cheol-ho (a.k.a. Harry Potter)
Ahn Bo-hyun as First Sergeant Lim Gwang-nam (a.k.a. Piccolo)
Haesung Hospital Medical Services Team
Onew as Lee Chi-hoon (1st year resident of Thoracic Surgery a.k.a. Handsome Spaceman)[19]
Lee Seung-joon as Song Sang-hyun (General Surgeon)
Seo Jeong-yeon as Ha Ja-ae (ER Senior Nurse) (a.k.a. Miss B)
Park Hwan-hee as Choi Min-ji (ER Nurse)
People at Haesung Hospital
Hyun Jyu-ni as Pyo Ji-soo (Pathology Specialist)
Tae In-ho as Han Suk-won (Chairman of Haesung Hospital)
Park Ah-in as Kim Eun-ji (Thoracic Surgery Specialist)
Jo Woo-ri as Jang Hee-eun (1st Year Resident of Anesthesiology) (wife of Dr. Lee Chi-hoon)[20]
Tae Baek Army
Kang Shin-il as Lieutenant General Yoon Gil-joon (a.k.a. Yellow Tiger) (Myung-ju's father)
Kim Byung-chul as Lieutenant Colonel (later promoted to Colonel) Park Byung-soo
Kim Min-seok as Private First Class Kim Gi-bum (later promoted to Staff Sergeant as seen in ep 16). A pickpocket later enlisted to the army.
Uruk area
Cho Tae-kwan as Daniel Spencer (Peacemaker Emergency Doctor Team)[21]
Jeon Soo-jin as Ri Ye-hwa (Peacemaker Emergency Nurse Team)
David Lee McInnis as David Argus (Gang Boss, former Delta Force Captain), the main antagonist.
Dean Dawson as the Chief of Police (Tae Baek Police Chief)
Jo Jae-yoon as Jin Young-soo (Chief Manager of Uruk Electric Power Corporation)
Lee Yi-kyung as Kang Min-jae
Zyon Barreto as Fatima
Elena Zhernovaya as Valentine[22]
David Pipes as Martin (World Times Reporter)
Ji Seung-hyun as Senior Lieutenant Ahn Jung-joon, Korean People's Army.
Kwak In-joon as Lee Han-soo (Minister of Foreign Affairs)
Joey Albright as US Army Delta Force member
Special appearances
Lee Kwang-soo as shooting arcade operator (episode 1)[23]
Lee Jong-hyuk as Captain Kim Jin-seok (episode 2, 5, 10, 15)
Matthew Douma as Jordan, US Army Delta Force Captain (episode 2, 10, 12)[24]
Jung Ji-won as TV announcer (episode 2)
Park Tae-won as TV announcer (episode 2)
Ryu Hwa-young as Seo Dae-young's ex-girlfriend (episode 4)
Jun In-taek as Yoo Young-geun (Yoo Shi Jin's father) (episode 6, 7, 15, 16)
Park Joon-geum as Lee Chi-hoon's mother (episode 7, 11)
Yoo Ah-in as bank reception Eom Hong-shik (episode 13)[25]
Nam Ki-ae as Kang Mo-yeon's mother (episode 13)
Lee Jae-yong as Lieutenant General Choi Ji-ho, Korean People's Army
Red Velvet as themselves (episode 16)"
,Kdrama,Legend of the Blue Sea (Korean: 푸른 바다의 전설),,,,,0.90,,17.60%,"Jun Ji-hyun as Shim Cheong/ Se-hwa[6]
Kal So-won as child Se-hwa
Shin Eun-soo as teenage Se-hwa[7]
A mermaid in the Joseon era who falls in love with Dam-ryeong as a child after saving him, and is named as Se-hwa by Dam-ryeong after his late sister. As they are initially unable to stay together due to his arranged marriage and Se-hwa's inability to turn her tail into legs without reaching adulthood yet, she erases his memories. The two meet again and suffer a tragic fate together, beginning the first omen that will tie their reincarnations.

In the modern-day, she follows Joon-jae to Seoul after developing feelings for him in Spain. He names her Shim Cheong, after a folklore character who is known for being extremely stupid, as she is highly ignorant about the common things on land. Like her Joseon-era incarnation, she has super strength and the ability to read and erase one's memory.

Lee Min-ho as Heo Joon-jae/ Kim Dam-ryeong
Jeon Jin-seo as child Heo Joon-jae/ Kim Dam-ryeong
Park Jin-young as teenage Heo Joon-jae/ Kim Dam-ryeong
The town head and son of a magistrate in the Joseon era who falls in love with a mermaid as a child, and names her Se-hwa after his late sister. As he begins to dream about the tragic fate of their modern-day reincarnations, he commissions a time capsule to warn his future self.

Joon-jae, his future self, is a con-artist who uses wits and looks to conduct scams on people of the privileged class of the society. He meets Shim Cheong, a mermaid and ultimately falls in love with her, thus being able to read her thoughts. After conceiving dreams about their Joseon era incarnations and receiving Dam-ryeong's time capsule, he sets out to change the ill-fate that chased Dam-ryeong and Se-hwa.

"
,Kdrama,"The Heirs (왕관을 쓰려는 자, 그 무게를 견뎌라 – 상속자들)",,,,,0.84,,16.70%,"Lee Min-ho as Kim Tan[12][13][14][15][16][17][18]
Jung Chan-woo as young Kim Tan
Jeon Jin-seo as child Kim Tan
The future heir to the Jeguk (meaning ""Empire"") Group.[19] He is the son of his father's mistress, but is listed in the family registry as the second son of the wife in order to be a legitimate heir. Though hot-headed and at times immature, Kim Tan is warm-hearted and honest. Although he is engaged to Rachel Yoo, he is attracted to Cha Eun-sang at first sight and falls in love with her despite her poor background.[20]
Park Shin-hye as Cha Eun-sang[21][22][23][24]
Down-to-earth and somewhat cynical, Eun-sang diligently works part-time jobs to support herself and her mother after her sister leaves for the U.S. She lives in Kim Tan's home, since her mother is a live-in housekeeper of the Kim family. She is enrolled in Jeguk High School on a welfare scholarship given by President Kim.
Kim Woo-bin as Choi Young-do[25][26][27]
Yang Hyun-mo as young Choi Young-do
The heir to the Zeus Hotel Group. Known for his cunning intellect and volatile manners, he is feared by his classmates, whom he bullies.[28] He is formerly best friends with Kim Tan, but a misunderstanding made them enemies. Young-do begins picking on Cha Eun-sang to irritate Tan but he soon realizes that's not the only reason she's always on his mind.
Supporting
Jeguk High School
Kim Ji-won as Rachel Yoo[29][30]
Kim Tan's fiancée. The rich, chic and haughty heiress of clothing company RS International, she is also known as ""Jeguk High School's ""Paris Hilton"". She dislikes Cha Eun-sang, and attempts many times to split her and Kim Tan apart. She is also on close terms with Tan's half-brother, Kim Won.
Kang Min-hyuk as Yoon Chan-young[31][32]
Son of the Jeguk Group's secretary. Kind, cool-headed, warm, and smart, Chan-young always sees the best in people. Despite being in the social care group, he doesn't get picked on by the ""higher social status"" students because he is the class president. He is also Eun-sang's best friend, and his friendship with her makes his girlfriend, Lee Bo-na jealous. Nonetheless, Chan-young thinks that everything Bo-na does is cute, especially when she is jealous.
Kang Ha-neul as Lee Hyo-shin[33]
Son of the attorney general. Calm and laid back, he runs the school broadcasting system together with Bo-na and later Eun-sang. He is also close friends with Kim Tan. Hyo-shin is constantly pressured by his family to get into law school, despite his dislike for the profession. To overcome his family's pressure, he joins the army without telling anyone besides Tan and Rachel. Hyo-shin also has a one-sided crush on his private tutor, Jeon Hyun-joo, but later falls for Rachel.
Krystal Jung as Lee Bo-na[34]
The beautiful daughter of the CEO of Mega Entertainment. Though somewhat spoiled, she is actually kind-hearted.She is praised for her beauty and cuteness. She is Kim Tan's first love and ex-girlfriend, and now they are still on friendly terms. She is now dating Chan-young. She dislikes Eun-sang at first for being Chan-young's best friend, believing that ""there is no way for a girl and a boy to simply be just friends"", but as the time goes by she became friends with her.
Park Hyung-sik as Jo Myung-soo[35][32]
Son of the CEO of Victory Law Firm, the largest law firm in town. He is quick-witted, playful and often jokes around. He often hangs out at night clubs and take photos of his friends. He is best friends with Young-do and Bo-na (the three often hang out together in Myung-soo's studio, where there is a wall covered in pictures of his friends and family.).
Jeon Soo-jin as Kang Ye-sol
The daughter of a former bar hostess who owns 10 large bars in Gangnam, Seoul. She is Lee Bo-na's best friend. Her existence in Jeguk High School was unremarkable until Rachel exposed her mother's profession, which temporarily halted her friendship with Bo-na. She has a crush on Choi Young-do.
Choi Tae-hwan as Lee Sang-woo
Choi Young-do's lackey.
Yang Seung-pil as Hyo-joon
Choi Young-do's lackey.
Cho Yoon-woo as Moon Joon-young[36]
A victim of Choi Young-do's bullying at Jeguk High School due to his ""welfare status"". He later leaves to another school.
Others
Choi Jin-hyuk as Kim Won[37]
Kim Tan's older half-brother. The son of his father's first wife, who died when he was young. He is an accomplished and capable young executive who runs his family's giant conglomerate, Jeguk Group. At constant friction with his family, he attempts to rule the company himself, and fears that Tan will get in his way. Due to this, he had never had a real brotherly relationship with Tan, despite the latter trying everything he can to win his brother's heart. He is in a relationship with Hyun-joo, whom he later gives up on for the sake of the company.
Lim Ju-eun as Jeon Hyun-joo[38]
A teacher at Jeguk High School. Diligent and earnest, Hyun-joo gets Kim Won's attention for her sharp intelligence, and they enter into a relationship. But she eventually broke up with Won to allow him to concentrate on running the company. She is also the private tutor of Hyo-shin, who had a crush on her.
Kim Mi-kyung as Park Hee-nam
The mute housekeeper of the Kim family, and mother of Eun-sang. She lost her voice when she was three years old due to a severe fever. She often gives advice to Kim Tan's mother. She is kind, and wants the best for her daughter.
Kim Sung-ryung as Han Ki-ae
Kim Tan's mother and the mistress of Kim Nam-yoon. Though somewhat vain and self-centered, she cares for her son deeply and only wants him to be happy.
Jung Dong-hwan as Kim Nam-yoon
President of Jeguk Group, and father of Kim Tan and Kim Won.
Park Joon-geum as Jung Ji-suk
Chairwoman of Jeguk High School. Kim Nam-yoon's second wife, and Kim Tan's registered mother. Selfish and controlling, she attempts to take over Jeguk Group when her husband, the chairman falls ill.
Yoon Son-ha as Esther Lee[39]
President of RS International and Rachel's mother, who is engaged to Choi Dong-uk, Young-do's father. However, she still appears to be in love with Yoon Jae-ho, whom she previously gave up on to marry someone who would help her business.
Choi Won-young as Yoon Jae-ho
Jeguk Group's secretary and Chan-young's father, who is previously involved with Esther Lee.
Choi Jin-ho as Choi Dong-wook[40]
President of Zeus Hotel Group and father of Young-do. He is controlling and violent, and became a womanizer after his first wife, Young-do's mother, left their family. He is engaged to Esther Lee but he is having an affair.
Baek Seung-hyeon as Secretary Jung
Choi Ji-na as Yoo Kyung-ran
Choi Young-do's mother
Seo Yi-sook as Lee Hyo-shin's mother
Jung Won-joong as Lee Chan-hyuk
Lee Hyo-shin's father
Lee Yeon-kyung as Lee Bo-na's mother
Ra Mi-ran as Jo Myung-soo's mother
Choi Eun-kyung as Kang Ye-sol's mother
Special appearances
Yoon Jin-seo as Cha Eun-suk / Stella (ep. 1)
Cha Eun-sang's sister
Kim Hee-chul as music program MC (ep. 4)[41]
2EYES as themselves (ep. 4)
VIXX as themselves (ep. 4)[42]
BTOB as themselves (ep. 4)
Jung Joo-hee as announcer (ep. 15-16)
Wang Ji-won as Yang Da-kyung (ep. 17, 19-20)
Kim Won's blind date woman
Lee Hyun-jin as Lee Hyun-jin (ep. 19)"
